2025-12-01 01:17:51 [INFO] Iniciando busca de dados no OMDB...
2025-12-01 01:17:51 [INFO] Arquivo atual: extraction\tmdb_movies_1.json
2025-12-01 01:18:32 [INFO] Dados do OMDB para tt35600079: {'awards': 'N/A', 'ratings': {'imdb': '5.9/10', 'rotten_tomatoes': None, 'metacritic': None}}
2025-12-01 01:18:32 [INFO] Dados do OMDB para tt21442114: {'awards': 'N/A', 'ratings': {'imdb': '5.0/10', 'rotten_tomatoes': '29%', 'metacritic': None}}
2025-12-01 01:18:33 [INFO] Dados do OMDB para tt32214143: {'awards': 'N/A', 'ratings': {'imdb': '5.7/10', 'rotten_tomatoes': '85%', 'metacritic': '46/100'}}
2025-12-01 01:18:33 [INFO] Dados do OMDB para tt26581740: {'awards': '1 nomination total', 'ratings': {'imdb': '7.5/10', 'rotten_tomatoes': '93%', 'metacritic': '81/100'}}
2025-12-01 01:18:34 [INFO] Dados do OMDB para tt9619824: {'awards': '1 win & 4 nominations total', 'ratings': {'imdb': '6.7/10', 'rotten_tomatoes': '92%', 'metacritic': '73/100'}}
2025-12-01 01:18:35 [INFO] Dados do OMDB para tt13654226: {'awards': 'Nominated for 2 Primetime Emmys. 6 nominations total', 'ratings': {'imdb': '6.7/10', 'rotten_tomatoes': '62%', 'metacritic': '57/100'}}
2025-12-01 01:18:35 [INFO] Dados do OMDB para tt18392014: {'awards': 'N/A', 'ratings': {'imdb': '5.9/10', 'rotten_tomatoes': None, 'metacritic': '46/100'}}
2025-12-01 01:18:36 [INFO] Dados do OMDB para tt9150192: {'awards': 'N/A', 'ratings': {'imdb': '5.7/10', 'rotten_tomatoes': '47%', 'metacritic': '52/100'}}
2025-12-01 01:18:36 [INFO] Dados do OMDB para tt36463894: {'awards': 'N/A', 'ratings': {'imdb': '7.5/10', 'rotten_tomatoes': '95%', 'metacritic': '78/100'}}
2025-12-01 01:18:37 [INFO] Dados do OMDB para tt31956415: {'awards': 'N/A', 'ratings': {'imdb': '6.5/10', 'rotten_tomatoes': '74%', 'metacritic': '60/100'}}
2025-12-01 01:18:38 [INFO] Dados do OMDB para tt27621210: {'awards': 'N/A', 'ratings': {'imdb': '4.8/10', 'rotten_tomatoes': '15%', 'metacritic': '37/100'}}
2025-12-01 01:18:38 [INFO] Dados do OMDB para tt37334010: {'awards': 'N/A', 'ratings': {'imdb': '7.0/10', 'rotten_tomatoes': None, 'metacritic': None}}
2025-12-01 01:18:39 [INFO] Dados do OMDB para tt26342662: {'awards': '1 win & 1 nomination total', 'ratings': {'imdb': '6.0/10', 'rotten_tomatoes': '58%', 'metacritic': '54/100'}}
2025-12-01 01:18:39 [INFO] Dados do OMDB para tt31193180: {'awards': '21 wins & 19 nominations total', 'ratings': {'imdb': '7.6/10', 'rotten_tomatoes': '97%', 'metacritic': '84/100'}}
2025-12-01 01:18:40 [INFO] Dados do OMDB para tt12410182: {'awards': 'N/A', 'ratings': {'imdb': '1.9/10', 'rotten_tomatoes': None, 'metacritic': None}}
2025-12-01 01:18:40 [INFO] Dados do OMDB para tt33312131: {'awards': 'N/A', 'ratings': {'imdb': '5.3/10', 'rotten_tomatoes': None, 'metacritic': None}}
2025-12-01 01:18:41 [INFO] Dados do OMDB para tt11214558: {'awards': '1 win & 3 nominations total', 'ratings': {'imdb': '6.5/10', 'rotten_tomatoes': '70%', 'metacritic': '65/100'}}
2025-12-01 01:18:41 [INFO] Dados do OMDB para tt20969586: {'awards': '3 wins & 13 nominations total', 'ratings': {'imdb': '7.1/10', 'rotten_tomatoes': '88%', 'metacritic': '68/100'}}
2025-12-01 01:18:42 [INFO] Dados do OMDB para tt36733027: {'awards': '4 wins & 1 nomination total', 'ratings': {'imdb': '7.8/10', 'rotten_tomatoes': None, 'metacritic': None}}
2025-12-01 01:18:42 [INFO] Dados do OMDB para tt14830912: {'awards': '1 win total', 'ratings': {'imdb': None, 'rotten_tomatoes': None, 'metacritic': None}}
2025-12-01 01:18:43 [INFO] Dados do OMDB para tt7574556: {'awards': '2 nominations total', 'ratings': {'imdb': '6.6/10', 'rotten_tomatoes': None, 'metacritic': '69/100'}}
2025-12-01 01:18:43 [INFO] Dados do OMDB para tt34992378: {'awards': 'N/A', 'ratings': {'imdb': None, 'rotten_tomatoes': None, 'metacritic': None}}
2025-12-01 01:18:44 [INFO] Dados do OMDB para tt1674782: {'awards': 'N/A', 'ratings': {'imdb': '6.3/10', 'rotten_tomatoes': None, 'metacritic': '51/100'}}
2025-12-01 01:18:44 [INFO] Dados do OMDB para tt29780866: {'awards': 'N/A', 'ratings': {'imdb': None, 'rotten_tomatoes': None, 'metacritic': None}}
2025-12-01 01:18:45 [INFO] Dados do OMDB para tt32376165: {'awards': '1 win & 3 nominations total', 'ratings': {'imdb': '6.4/10', 'rotten_tomatoes': '76%', 'metacritic': '75/100'}}
2025-12-01 01:18:45 [INFO] Dados do OMDB para tt18382850: {'awards': '5 wins & 5 nominations total', 'ratings': {'imdb': '7.3/10', 'rotten_tomatoes': '94%', 'metacritic': '77/100'}}
2025-12-01 01:18:46 [INFO] Dados do OMDB para tt32246771: {'awards': '1 win & 7 nominations total', 'ratings': {'imdb': '7.1/10', 'rotten_tomatoes': '89%', 'metacritic': '75/100'}}
2025-12-01 01:18:46 [INFO] Dados do OMDB para tt26783625: {'awards': '1 win total', 'ratings': {'imdb': '5.7/10', 'rotten_tomatoes': '83%', 'metacritic': '63/100'}}
2025-12-01 01:18:47 [INFO] Dados do OMDB para tt33057137: {'awards': '1 win total', 'ratings': {'imdb': '5.7/10', 'rotten_tomatoes': '67%', 'metacritic': None}}
2025-12-01 01:18:48 [INFO] Dados do OMDB para tt31322753: {'awards': '8 wins & 3 nominations total', 'ratings': {'imdb': '7.8/10', 'rotten_tomatoes': '97%', 'metacritic': '80/100'}}
2025-12-01 01:18:48 [INFO] Dados do OMDB para tt14513804: {'awards': '8 nominations total', 'ratings': {'imdb': '5.6/10', 'rotten_tomatoes': '46%', 'metacritic': '42/100'}}
2025-12-01 01:18:49 [INFO] Dados do OMDB para tt12583926: {'awards': 'N/A', 'ratings': {'imdb': None, 'rotten_tomatoes': '62%', 'metacritic': None}}
2025-12-01 01:18:49 [INFO] Dados do OMDB para tt31973693: {'awards': 'N/A', 'ratings': {'imdb': '6.7/10', 'rotten_tomatoes': '65%', 'metacritic': '58/100'}}
2025-12-01 01:18:50 [INFO] Dados do OMDB para tt0800175: {'awards': 'N/A', 'ratings': {'imdb': '4.5/10', 'rotten_tomatoes': None, 'metacritic': '41/100'}}
2025-12-01 01:18:50 [INFO] Dados do OMDB para tt26584495: {'awards': '2 wins & 8 nominations total', 'ratings': {'imdb': '6.9/10', 'rotten_tomatoes': '93%', 'metacritic': '70/100'}}
2025-12-01 01:18:51 [INFO] Dados do OMDB para tt18069420: {'awards': '1 nomination total', 'ratings': {'imdb': '4.3/10', 'rotten_tomatoes': '20%', 'metacritic': '31/100'}}
2025-12-01 01:18:51 [INFO] Dados do OMDB para tt13964560: {'awards': 'N/A', 'ratings': {'imdb': '4.7/10', 'rotten_tomatoes': '39%', 'metacritic': '40/100'}}
2025-12-01 01:18:52 [INFO] Dados do OMDB para tt20990442: {'awards': '1 nomination total', 'ratings': {'imdb': '5.1/10', 'rotten_tomatoes': '30%', 'metacritic': '38/100'}}
2025-12-01 01:18:53 [INFO] Dados do OMDB para tt27425164: {'awards': 'N/A', 'ratings': {'imdb': '5.3/10', 'rotten_tomatoes': '27%', 'metacritic': None}}
2025-12-01 01:18:53 [INFO] Dados do OMDB para tt27543578: {'awards': '2 nominations total', 'ratings': {'imdb': '6.9/10', 'rotten_tomatoes': '77%', 'metacritic': '62/100'}}
2025-12-01 01:18:54 [INFO] Dados do OMDB para tt31727397: {'awards': 'N/A', 'ratings': {'imdb': '4.7/10', 'rotten_tomatoes': None, 'metacritic': None}}
2025-12-01 01:18:54 [INFO] Dados do OMDB para tt32063098: {'awards': '1 nomination total', 'ratings': {'imdb': '5.8/10', 'rotten_tomatoes': '48%', 'metacritic': '49/100'}}
2025-12-01 01:18:55 [INFO] Dados do OMDB para tt35521922: {'awards': '1 win & 2 nominations total', 'ratings': {'imdb': '6.7/10', 'rotten_tomatoes': '90%', 'metacritic': '72/100'}}
2025-12-01 01:18:55 [INFO] Dados do OMDB para tt28037987: {'awards': '1 win total', 'ratings': {'imdb': '6.3/10', 'rotten_tomatoes': '67%', 'metacritic': None}}
2025-12-01 01:18:56 [INFO] Dados do OMDB para tt34987195: {'awards': 'N/A', 'ratings': {'imdb': '4.8/10', 'rotten_tomatoes': None, 'metacritic': None}}
2025-12-01 01:18:56 [INFO] Dados do OMDB para tt10548174: {'awards': '3 wins & 16 nominations total', 'ratings': {'imdb': '6.6/10', 'rotten_tomatoes': '89%', 'metacritic': '77/100'}}
2025-12-01 01:18:57 [INFO] Dados do OMDB para tt15514498: {'awards': 'N/A', 'ratings': {'imdb': '6.0/10', 'rotten_tomatoes': '42%', 'metacritic': '47/100'}}
2025-12-01 01:18:58 [INFO] Dados do OMDB para tt31179712: {'awards': 'N/A', 'ratings': {'imdb': '4.7/10', 'rotten_tomatoes': '50%', 'metacritic': None}}
2025-12-01 01:18:58 [INFO] Dados do OMDB para tt32299316: {'awards': '3 nominations total', 'ratings': {'imdb': '6.4/10', 'rotten_tomatoes': '87%', 'metacritic': '65/100'}}
2025-12-01 01:18:59 [INFO] Dados do OMDB para tt9362736: {'awards': '10 nominations total', 'ratings': {'imdb': '6.6/10', 'rotten_tomatoes': None, 'metacritic': '72/100'}}
2025-12-01 01:18:59 [INFO] Dados do OMDB para tt31184028: {'awards': '4 nominations total', 'ratings': {'imdb': '6.7/10', 'rotten_tomatoes': '90%', 'metacritic': '75/100'}}
2025-12-01 01:19:00 [INFO] Dados do OMDB para tt33549447: {'awards': 'N/A', 'ratings': {'imdb': '5.9/10', 'rotten_tomatoes': '54%', 'metacritic': '54/100'}}
2025-12-01 01:19:00 [INFO] Dados do OMDB para tt33502160: {'awards': 'N/A', 'ratings': {'imdb': None, 'rotten_tomatoes': '42%', 'metacritic': None}}
2025-12-01 01:19:01 [INFO] Dados do OMDB para tt10078772: {'awards': 'N/A', 'ratings': {'imdb': '5.3/10', 'rotten_tomatoes': '29%', 'metacritic': '38/100'}}
2025-12-01 01:19:01 [INFO] Dados do OMDB para tt12299608: {'awards': '1 win & 9 nominations total', 'ratings': {'imdb': '6.7/10', 'rotten_tomatoes': '77%', 'metacritic': '72/100'}}
2025-12-01 01:19:02 [INFO] Dados do OMDB para tt0899043: {'awards': 'N/A', 'ratings': {'imdb': '6.5/10', 'rotten_tomatoes': '62%', 'metacritic': '52/100'}}
2025-12-01 01:19:03 [INFO] Dados do OMDB para tt6208148: {'awards': '3 nominations total', 'ratings': {'imdb': '2.1/10', 'rotten_tomatoes': None, 'metacritic': '50/100'}}
2025-12-01 01:19:03 [INFO] Dados do OMDB para tt32434379: {'awards': '1 win & 2 nominations total', 'ratings': {'imdb': '6.2/10', 'rotten_tomatoes': '40%', 'metacritic': None}}
2025-12-01 01:19:04 [INFO] Dados do OMDB para tt31511689: {'awards': 'N/A', 'ratings': {'imdb': '4.9/10', 'rotten_tomatoes': '44%', 'metacritic': '56/100'}}
2025-12-01 01:19:04 [INFO] Dados do OMDB para tt35636950: {'awards': 'N/A', 'ratings': {'imdb': '6.8/10', 'rotten_tomatoes': None, 'metacritic': None}}
2025-12-01 01:19:05 [INFO] Dados do OMDB para tt31434639: {'awards': '3 nominations total', 'ratings': {'imdb': '7.2/10', 'rotten_tomatoes': '92%', 'metacritic': '78/100'}}
2025-12-01 01:19:05 [INFO] Dados do OMDB para tt27714946: {'awards': '3 wins & 5 nominations total', 'ratings': {'imdb': '5.9/10', 'rotten_tomatoes': '77%', 'metacritic': '62/100'}}
2025-12-01 01:19:06 [INFO] Dados do OMDB para tt27714581: {'awards': '3 wins & 6 nominations total', 'ratings': {'imdb': '7.7/10', 'rotten_tomatoes': '97%', 'metacritic': '88/100'}}
2025-12-01 01:19:06 [INFO] Dados do OMDB para tt32643830: {'awards': 'N/A', 'ratings': {'imdb': '5.3/10', 'rotten_tomatoes': '75%', 'metacritic': None}}
2025-12-01 01:19:07 [INFO] Dados do OMDB para tt32550101: {'awards': 'N/A', 'ratings': {'imdb': '6.5/10', 'rotten_tomatoes': '55%', 'metacritic': '56/100'}}
2025-12-01 01:19:08 [INFO] Dados do OMDB para tt31176520: {'awards': '1 nomination total', 'ratings': {'imdb': '6.6/10', 'rotten_tomatoes': '68%', 'metacritic': '65/100'}}
2025-12-01 01:19:08 [INFO] Dados do OMDB para tt33610694: {'awards': 'N/A', 'ratings': {'imdb': None, 'rotten_tomatoes': None, 'metacritic': None}}
2025-12-01 01:19:09 [INFO] Dados do OMDB para tt32843325: {'awards': '2 wins & 1 nomination total', 'ratings': {'imdb': '6.2/10', 'rotten_tomatoes': None, 'metacritic': None}}
2025-12-01 01:19:09 [INFO] Dados do OMDB para tt0498396: {'awards': 'N/A', 'ratings': {'imdb': '4.8/10', 'rotten_tomatoes': '52%', 'metacritic': '46/100'}}
2025-12-01 01:19:10 [INFO] Dados do OMDB para tt21317634: {'awards': 'N/A', 'ratings': {'imdb': '4.4/10', 'rotten_tomatoes': '15%', 'metacritic': '23/100'}}
2025-12-01 01:19:11 [INFO] Dados do OMDB para tt28283547: {'awards': 'N/A', 'ratings': {'imdb': '5.0/10', 'rotten_tomatoes': None, 'metacritic': None}}
2025-12-01 01:19:11 [INFO] Dados do OMDB para tt30253473: {'awards': '6 nominations total', 'ratings': {'imdb': '6.3/10', 'rotten_tomatoes': '78%', 'metacritic': '70/100'}}
2025-12-01 01:19:12 [INFO] Dados do OMDB para tt21110654: {'awards': 'N/A', 'ratings': {'imdb': '5.3/10', 'rotten_tomatoes': None, 'metacritic': None}}
2025-12-01 01:19:12 [INFO] Dados do OMDB para tt7130300: {'awards': 'N/A', 'ratings': {'imdb': '6.0/10', 'rotten_tomatoes': '26%', 'metacritic': '44/100'}}
2025-12-01 01:19:13 [INFO] Dados do OMDB para tt1493274: {'awards': 'N/A', 'ratings': {'imdb': '7.0/10', 'rotten_tomatoes': '84%', 'metacritic': '65/100'}}
